correct?, sentence, homograph, predicted pronunciation
f,188703,he should be glad to get it if he could but he was sure the british would not ultimately grant it that the navigation of the mississippi on the other hand was an object of immense importance and he could see no sort of reason for granting it as an equivalent for the fisheries,OBJECT, 0 @ b - 1 jh e k t
f,58494,whose mere parting seemed to breathe upon you the fragrance of frankness and generosity had the fastidious soul of an experienced woman she was before all things and all flatteries careful of her pride in the object of her choice,OBJECT, 0 @ b - 1 jh e k t
f,80962,ready to start upon his morning round and pacing thoughtfully to and fro upon the veranda of his dwelling while waiting for his horse saw a miserable looking object coming up the avenue,OBJECT, 0 @ b - 1 jh e k t
f,2682,bestowing a rich aunt and sinking half the children he was able to represent the whole family to the general in a most respectable light for catherine however the peculiar object of the general's curiosity,OBJECT, 0 @ b - 1 jh e k t
f,1398,he is neither a count nor of noble family although i suppose when you met him in new york he had an object in posing as a titled aristocrat the girl paused examining the point of her pen thoughtfully,OBJECT, 0 @ b - 1 jh e k t
f,149199,though so anxious also that something of his love should remain with herself she was quite willing to convey that message if it might be done without offence to the duke she was there with the object of ingratiating herself with the duke,OBJECT, 0 @ b - 1 jh e k t
t,164426,so when julia asked her one afternoon if she would not like to go with her to call on doctor holmes she declined with thanks and left julia free to invite edith,INVITE, 0 i n - 1 v ai t
t,187229,why should you get ugly new ones when you can use cousin mary's,USE, 1 y uu z
t,45442,avoid all unnecessary trips if you must travel use public transportation if possible however if you are forced to use your automobile for a trip of any distance take these precautions,USE, 1 y uu z
f,85077,and on hearing her adventure the maid of honour told her she must never again venture out but the princess replied it is no use talking thus when i am a fawn this room is stifling to me and i must depart from it,USE, 1 y uu z
t,66068,it was ignorance of law that for ages deprived humanity of our modern conveniences many speakers still use ox cart methods in their speech instead of employing automobile or overland express methods,USE, 1 y uu z
t,166904,paris greenwich and washington d c but in your honor i'll use the one for paris this reply told me nothing i bowed and the commander went on,USE, 1 y uu z
t,76162,still keeping back their own souls and trying to use god for their own purposes god is nothing more for them as yet than a magnificent fetish they did not really want him but they have heard that he is potent stuff,USE, 1 y uu z
f,44709,and two or three men wounded in taking this ship they damaged their own so much by springing their foremast carrying away their bowsprit and beating in part of their upper works that they did not think her longer fit for their use,USE, 1 y uu z
t,178265,and are able to read and enjoy the original will hardly take an interest in a mere translation while the english reader unacquainted with greek,READ, 1 r ii d
t,102519,you will won't you promise me very well said katy more and more amazed but yielding to clover's eagerness i'll keep it shut her curiosity was excited she took a book and tried to read,READ, 1 r ii d
t,147047,it's the practice of the country it's tradition it's politics read fifty years of misrule leave poor papa alone don martin he believes i have the greatest tenderness for your father he began hurriedly but i love you antonia,READ, 1 r ii d
t,114944,i might have been able to read continued the poor fellow,READ, 1 r ii d
t,187220,freddie would slip round and read them with her you know freddie's very religious and then she'd work at flannel petticoats for the poor or something of that kind till lunch afterwards she'd go and read the bible to people in the workhouse or in hospital,READ, 1 r ii d
f,145531,stood by him at the bar they read as well as they could some notes which he had set down and examined his witnesses it was to little purpose,READ, 1 r ii d
f,83126,what do i think said albert evidently surprised at such a question from his companion i think he is a delightful fellow who does the honors of his table admirably who has travelled much read much,READ, 1 r ii d
t,9034,laid one over the other like folds of papyrus these rolls consisted of slips of cloth about four inches wide and eighteen long they were all carefully numbered and closely covered with writing so legible that dantes could easily read it,READ, 1 r ii d
f,37106,and lock myself up in my room and read it twenty four september i hadn't the heart to write last night that terrible record of jonathan's upset me so,READ, 1 r ii d
t,75329,and indeed we may observe that these endowments more than the other virtues produce not all of them the same kind of approbation good sense and genius beget esteem and regard wit and humour excite love and affection footnote,PRODUCE, 0 p r @ - 1 d y uu s
t,38931,good thoughts and actions can never produce bad results bad thoughts and actions can never produce good results this is but saying that nothing can come from corn but corn nothing from nettles but nettles,PRODUCE, 0 p r @ - 1 d y uu s
t,103727,he would seldom produce any music or attempt any recognized air leaning back in his arm chair of an evening he would close his eyes,PRODUCE, 0 p r @ - 1 d y uu s
t,37877,i have told you so having got it why do you give me the pain of looking at you for another moment and seeing what you have become i have become shabby enough if you mean that he said i lead the life of an owl,LEAD, 1 l e d
t,161348,but the cerebral is born old from infancy he shows more maturity than other children the teacher's pet his studiousness and tractableness lead to one reward in childhood though it often costs him dear as a man,LEAD, 1 l e d
f,127456,the city was crowded with coloured people many of whom had recently come from the south a large proportion of these people had been drawn to washington because they felt that they could lead a life of ease there,LEAD, 1 l e d
f,64884,when however he had toiled up the hillside to the earth taking infinite precaution not to tread down the bracken or make a beaten path which might lead others to that secret spot,LEAD, 1 l e d
f,87203,i don't think you understand this man wants to lead a decent life and he can't because there's no way for him to earn a living i understand all that samuel,LEAD, 1 l e d
t,115972,where they now certainly believed him to be entirely off his guard he was thoroughly on his guard and where they might suspect him watch him they would suspect and watch only the character the person of jimmie dale,SUSPECT, 0 s @ - 1 s p e k t
t,161460,and i will give you through that opening a pair of pincers and a hammer with which you may by night draw out the nails of the staple and we can easily put that to rights again so that no one will ever suspect that the lock was opened,SUSPECT, 0 s @ - 1 s p e k t
t,204010,he treated her with something that almost approached respect then she would bid them be patient and love and pray and meet harshness with gentleness and abuse with silence,ABUSE, 0 @ - 1 b y uu s
t,133573,i had indeed good reason for my terror when an instant later the largest of the animals wound his trunk round the stem of my tree and with one mighty effort tore it up by the roots bringing me to the ground entangled in its branches,WOUND, 1 w ow n d
f,79682,ah though she knew it not he was then lying cold in death upon the bloody field of shiloh there had been news now and then from their northern friends and relatives richard allison had recovered from his wound and was again in the field,WOUND, 1 w ow n d
t,50737,it has been frequently remarked that it seems to have been reserved to the people of this country by their conduct and example to decide the important question whether societies of men are really capable or not,CONDUCT, 1 k o n - 0 d uh k t
t,98481,and mister abel whom they had come to fetch into his the old gentleman after reasoning with the pony on the extreme impropriety of his conduct,CONDUCT, 1 k o n - 0 d uh k t
t,23836,virtue a quality oftentimes associated with intelligence but rarely with beauty vulgarity the conduct of others a rolling stone gathers no moss,CONDUCT, 1 k o n - 0 d uh k t
f,77652,and prayed bird of heavenly pity here by each labour prayer and tear come in thine unvanquished power come and aid us in this hour,TEAR, 1 t eir
t,132374,and then the mechanism was reversed the crane set off at a tear back who in hell i began,TEAR, 1 t eir
f,165793,we must make our lives larger than the field of dollars and cents the charity that develops in us will make us truly generous and free from the reaction of hardness it is a great temptation to go on multiplying the rules of the game,LIVES, 1 l i v z
f,64541,for the regent has lately laid very severe restraints on the articles of dress which the middling class of people found grievous because it obliged them to throw aside finery that might have lasted them for their lives these may be termed vexatious,LIVES, 1 l i v z
f,78236,my brother as you have heard me talk about lives close by here we will go and dine with him he being a married man and with a comfortable home he will be glad to see us well i didn't know what to do not liking to have no quarrel with him in the street,LIVES, 1 l i v z
t,92991,while this contest was going on hannibal advanced his centre so as to form a salient angle projecting in front of his line the whole of the gauls and spaniards took part in this movement while the africans remained stationary,CONTEST, 1 k o n - 0 t e s t
t,90668,to captivate the mate he coveted,MATE, 1 m ei t
t,163708,and help me drag the bellowing bard ashore i laid hands upon the lunatic when this job had at last been completed we came wet and wretched to a fisherman's hut and refreshed ourselves somewhat with stores from the wreck spoiled though they were,JOB, 1 jh o b
t,48871,you certainly are some nut well anyhow buck up and let's have some tea sorry i can't see my way clear to help you out any further being as we're sort of partners in this job and you certainly have got some nerve for a girl but you know how it is i guess i can't do no more'n i said,JOB, 1 jh o b
t,98813,through a wealth of tangled grasses past a grove of live oaks from whose twisted and contorted limbs the gray moss hangs in long festoons by indian paintbrush,LIVE, 1 l ai v
f,96323,and live sumptuously for him on the remainder well on second thoughts a bishop was absurd he would draw the line at an archdeacon,LIVE, 1 l ai v
t,165766,due to unwise choice of profession in the first place the women's colleges are turning out hundreds of young women every year who naturally consider teaching as the field most appropriate and available,APPROPRIATE, 0 @ - 1 p r ou - 0 p r iy @ t
t,84629,if i refuse the black scoundrel's request there is no doubt but what he will make short work of me with the result that the machine will lie here until it rots if i accept his offer,REFUSE, 0 r i - 1 f y uu z
t,143228,i won't say to ye you shall marry him but i will say that if you refuse i shall forever be ashamed and a weary of ye as a daughter and shall look upon you as the hope of my life no more,REFUSE, 0 r i - 1 f y uu z
t,4799,and the daughter's looks and manners require no allowances any more than if she hadn't a sixpence she is not beautiful but equal to carrying any rank and she is not likely to refuse such prospects as you can offer her,REFUSE, 0 r i - 1 f y uu z
t,180138,your face is a kill mirth anyway it never took long to rouse her ladyship the queen turned to henry who was laughing and angrily demanded will your majesty permit me to be thus insulted in your very presence,PERMIT, 0 p @ - 1 m i t
t,745,the remainder of it replied scheherazade is more surprising and you will be of this opinion if the sultan will but permit me to live over this day,PERMIT, 0 p @ - 1 m i t
t,129590,then it seemed happy to fly and pleasant to follow behind great white wings and he was with the three flamingoes up in the cool above the desert and their voices cried before him going south going south and the desert below him mumbled,DESERT, 1 d e - 0 z @ t
t,68228,over the ridge bounded the pajama brigade the coyotes frightened beyond their power of reasoning if such a faculty was possessed by them were now no more than so many black streaks lengthening out across the desert,DESERT, 1 d e - 0 z @ t
t,186938,i decided to experiment with it numerous desert island stories had told me that the pangs of hunger could be allayed by chewing tobacco it was thus that the hero staved off death,DESERT, 1 d e - 0 z @ t
t,201977,and ensured their perfect confidence,PERFECT, 1 p @@r - 0 f i k t
t,59508,and the stream of tourists passed and repassed with many a curious glance at the stately white haired old gentleman and the little yellow haired girl by his side a perfect beauty exclaimed more than one matron with a sigh for her ugly girls by her side or left at home,PERFECT, 1 p @@r - 0 f i k t
t,179804,and those yet higher acquire perfect goodness by few movements and the highest perfection is found in those things which acquire perfect goodness without any movement whatever,PERFECT, 1 p @@r - 0 f i k t
t,174693,there were numerous bits of broken pottery scattered about and one nearly perfect specimen besides these there was a very interesting bit of stone carving these things i gathered together and placed in a heap near the entrance,PERFECT, 1 p @@r - 0 f i k t
t,133695,regularity applies to an actual uniform disposition or recurrence with no suggestion of purpose and as applied to human affairs is less intelligent and more mechanical than order the most perfect order is often secured with least regularity as in a fine essay or oration,PERFECT, 1 p @@r - 0 f i k t
t,164647,it is not necessary or essential however to have a clear mental image of yourself as you wish to be it is only essential to form a conception of perfect health and to relate yourself to it,PERFECT, 1 p @@r - 0 f i k t
t,93966,of that which is the foundation of the relation which may be done without having a perfect and clear idea of the thing it is attributed to thus having the notion that one laid the egg out of which the other was hatched i have a clear idea of the relation of dam and chick,PERFECT, 1 p @@r - 0 f i k t
t,134821,whom jealousy of nicholas and a sense of his own triumph had converted into a perfect fiend you the disappointed lover oh dear he he he but you shan't have her nor she you,PERFECT, 1 p @@r - 0 f i k t
f,18692,more than to his heart's content and then patriotically decorated in his right ear was a red ribbon in his left a white one around his neck another of blue,CONTENT, 1 k o n - 0 t e n t
t,85240,but i have not yet lost faith in humanity if i have been deceived again still we may glean health and content if not worldly profit i am aware that there are dishonest schemers in the world who set traps for the unwary,CONTENT, 1 k o n - 0 t e n t
t,42731,there had surely been dreadful exposures of prudent housekeepers in the papers which were very uncomfortable reading,READING, 1 r ii d - 0 i ng
t,3237,added darcy and to all this she must yet add something more substantial in the improvement of her mind by extensive reading i am no longer surprised at your knowing only six accomplished women,READING, 1 r ii d - 0 i ng
t,39356,and what do they teach you there oh reading and writing and arithmetic and things like that aha said the phoenix triumphantly just as i suspected a classical education,READING, 1 r ii d - 0 i ng
t,13000,every element of a man's life history impressions of early childhood his love and his successes his diseases and his distresses his acquaintances and his reading his talent his character his sincerity his energy his intelligence,READING, 1 r ii d - 0 i ng
t,144253,the stillness of the court room like that of a church was suddenly broken by the entrance of the judge a tall spare man with gray hair and a serious outlook upon life as he walked toward his seat the lawyers and officers of the court,ENTRANCE, 1 e n - 0 t r @ n s
t,59417,be here she had the dramatic instinct of the true leader and had commanded the doctor not to bring his bride before four o'clock the reception began at three they should have an entrance,ENTRANCE, 1 e n - 0 t r @ n s
t,96723,the map may be all right enough said one of the party if you know whereabouts in it we are now harris didn't know and suggested that the best thing to do would be to go back to the entrance and begin again,ENTRANCE, 1 e n - 0 t r @ n s
t,136635,another feeling had taken possession of me it seemed to me that i had her insult and my absurdity to wipe out i said to myself that if i spent every penny i had i would win her and win my right to the place i had abandoned so quickly,INSULT, 1 i n - 0 s uh lw t
t,150107,apparently as depressed by the continued barrenness of their mutual labors as philip was himself after that philip fought his battle alone day after day and slow work it was he could scarcely see that he made any progress,PROGRESS, 1 p r ou - 0 g r e s
t,24786,a crowd of eager and curious schoolboys understanding little of the matter in hand except that it gave them a half holiday ran before her progress,PROGRESS, 1 p r ou - 0 g r e s
t,183366,but apparently of gigantic stature sat in the sledge and guided the dogs we watched the rapid progress of the traveller with our telescopes until he was lost among the distant inequalities of the ice,PROGRESS, 1 p r ou - 0 g r e s
t,190594,he then calmly walked back to the station at horseshoe and told of the adventure such experiences as this followed one after another until in eighteen sixty three with the civil war in full progress,PROGRESS, 1 p r ou - 0 g r e s
t,52946,to his attentive audience he drew a loud and elaborate plan of a very brilliant campaign when he had finished the blue clothed men scattered into small arguing groups between the rows of squat brown huts,ELABORATE, 0 i - 1 l a - 0 b @ - 0 r @ t
t,18379,i've already started he called back and i hurriedly donned my own instrument,INSTRUMENT, 1 i n - 0 s t r @ - 0 m @ n t
t,166596,my interest roused in this work in which i was but an apprentice and in the fashion in which i seemed likely to become possessed of an instrument totally prohibited under the leads impelled perhaps,INSTRUMENT, 1 i n - 0 s t r @ - 0 m @ n t
t,140038,by virtue of being a capital gossip and story teller and that she had frequent private audiences soon she added intimations that the queen was far from being really so displeased with the cardinal,FREQUENT, 1 f r ii - 0 k w @ n t
t,22910,during june the meetings of those who were in the secret were frequent at length on the last day of the month the day on which the bishops were pronounced not guilty the decisive step was taken a formal invitation transcribed by sidney,FREQUENT, 1 f r ii - 0 k w @ n t
f,30100,since they even conflict with it i also set aside those actions which really conform to duty but to which men have no direct inclination,CONFLICT, 1 k o n - 0 f l i k t
t,27388,not apparent in erections where more ornament has been attempted the dusky filmed chestnut roof braced and tied in by huge collars curves and diagonals was far nobler in design because more wealthy in material than nine tenths of those in our modern churches,ORNAMENT, 1 oo - 0 n @ - 0 m @ n t
t,93199,down this some quarter of a mile long he rushed with an activity i could not have dreamed of seeing in one so aged and which put me to much trouble in pursuit a few minutes brought us to a large and busy bazaar,AGED, 1 ei jh d
t,137758,coon cheese coon cheese is full of flavor from being aged on shelves at a higher temperature than cold storage its rind is darker from the growth of mold and this shade is sometimes painted on more ordinary cheddars to make them look like coon,AGED, 1 ei jh d
t,56169,speed becomes the sole requirement and the last suggestion of human interest is taken away in contrast to this the hull house shop affords many examples of the restorative power in the exercise of a genuine craft,CONTRAST, 1 k o n - 0 t r aa s t
t,116815,charming replied that he must have considered his duty to his king even before a happiness so great the king with presents of rich jewels and a splendid escort met them on the way to the palace,ESCORT, 1 e - 0 s k oo t
f,106918,what are its uses the nutmeg is much used in our food and is of excellent virtue as a medicine it also yields an oil of great fragrance is the mace used as a spice,USES, 1 y uu z - 0 i z
f,126240,he saw some pigeons on the roof drawing his bow he shot one and it came fluttering past the window the white hind looked out and lo there was the king's son alive and well,BOW, 1 b ow
t,174644,the middle only of each page being occupied with a rather narrow strip of writing but the minute letters resembling hebrew characters were incomprehensible to me i bore the disappointment very cheerfully i must say,MINUTE, 0 m ai - 1 n y uu t
t,201999,the north passage is made by sailing round the north end of this pack the middle passage by pushing through it and the southern passage by passing round its southern extreme but seasons do occur when none of these routes are practicable it is very remarkable that southward of disco northerly winds have prevailed,WINDS, 1 w i n d z
t,196557,the man who can look with unfailing eye at the morrow does he who toils on the field know that rain is not under his power and that not he shows its way to the locust swarm does the merchant who gives his wealth to the winds which come he knows not whence,WINDS, 1 w i n d z
f,195922,it would be a different thing altogether then it would all be nice and compact the question of buying freehold land recurred to him again and again he went on in the same way for three years renting land and sowing wheat,COMPACT, 1 k o m - 0 p a k t
t,96641,and they packed the pies at the bottom and put heavy things on top and smashed the pies in they upset salt over everything and as for the butter i never saw two men do more with one and twopence worth of butter in my whole life than they did,UPSET, 3 uh p - 1 s e t
t,188578,this is the most moderate way in which the objection is put the extreme centralizers go further and claim that allegiance to the union or as they generally express it to the government meaning thereby the federal government,MODERATE, 1 m o - 0 d @ - 0 r @ t
t,173505,although he did not understand a single word of it the long deliberate latin words rolled out very grand to his ear and to tell you the truth it is just as well his scholarship was faulty,DELIBERATE, 0 d i - 1 l i - 0 b @ - 0 r @ t
t,183411,are soul subduing music august nineteenth,AUGUST, 1 oo - 0 g @ s t
t,153557,verse sixteen even we have believed in jesus christ that we might be justified the true way of becoming a christian is to be justified by faith in jesus christ,JESUS, 1 jh ii - 0 z @ s
t,91803,and from the vantage ground he thus held he could stretch down the arm of salvation to each and all for in regard of this glorified body of jesus we must note that it appeared and disappeared at the will of its owner and it would seem also that other matter yielded and gave it way,JESUS, 1 jh ii - 0 z @ s
t,8837,what would jesus do i keep asking it the answer comes slowly for i am feeling my way slowly one thing i have found out the men are not fighting shy of me i think that is a good sign,JESUS, 1 jh ii - 0 z @ s
f,119253,the shaft horse swung steadily beneath the bow over its head with no thought of slackening pace and ready to put on speed when required nicholas overtook the first sleigh,BOW, 1 b ou
f,143149,yes sir i have come said sir norman with a polite bow perhaps you don't know me my dear young sir your little friend you know of the golden crown oh i perfectly recognize you my little friend,BOW, 1 b ou
t,5500,but don't you think your work will rather be lessened than increased in this way there is so much milk required at the abbey that you will have little increase of cheese and butter making from the addition to your dairy,INCREASE, 1 i n - 0 k r ii s
t,188561,that is to say of course the people of the several states might resume their grants it will require but few words to dispose of some superficial objections that have been made to the application of this doctrine in a special case,RESUME, 0 r i - 1 z y uu m
t,179891,but the imagination is a power of the sensitive part therefore the power of the sensitive part remains in the separate soul and consequently all the other powers on the contrary it is said,SEPARATE, 1 s e - 0 p @ - 0 r @ t
t,11442,it is worth noting that these attacks of the sublime and the beautiful visited me even during the period of dissipation and just at the times when i was touching the bottom they came in separate spurts as though reminding me of themselves,SEPARATE, 1 s e - 0 p @ - 0 r @ t
t,110470,how will it affect me and if two or three spoke together,AFFECT, 0 @ - 1 f e k t
t,206016,please still keep me as your friend and associate with all my faults i'll try not to be like it again,ASSOCIATE, 0 @ - 1 s ou - 0 s iy @ t
t,54433,and handed them to a small boy who was standing shivering on the edge of the sidewalk almost under the horses feet he took them with a look of astonishment and a thank ye lady and instantly buried a very grimy face in the bunch of perfume the girl stepped into the carriage,PERFUME, 1 p @@r - 0 f y uu m
t,173673,hurry scurry up hill and down panting and blowing like a whirlwind at every leap the pain in the rider's side seemed to increase at first it was a little point like the prick of a needle then it spread to the size of a half franc piece,INCREASE, 0 i n - 1 k r ii s
t,188697,i myself think it probable there were however some three weeks more of negotiation to be gone through before the consummation was actually achieved and the ill blood seemed to increase as the end was approached,INCREASE, 0 i n - 1 k r ii s
f,85259,the man she had guiltily and yet how naturally loved was lord and master in her heart doubt him as she might even in his absence he pleaded with her to have some faith in him still she reviewed his language and his conduct toward her,CONDUCT, 0 k @ n - 1 d uh k t
t,31247,and a scrupulous mind might even ask whether one has the right to separate them i have a sensation and i have consciousness of it if not two facts they are one and the same now,SEPARATE, 1 s e - 0 p @ - 0 r ei t
t,158248,still blazing at the root of the old tree he stood by and sent up a little curl of blue smoke an incense to the demon of the wood and turned in a minute more into a black film overrun by a hundred creeping sparkles,INCENSE, 1 i n - 0 s e n s
t,88325,if the contract has been lately made the two will be nearly the same contracts of long standing often bind the tenant or borrower to pay either more or less than the present competitive price if after a time,CONTRACT, 1 k o n - 0 t r a k t
t,15233,before putting their project of exploring the yet unknown parts of the island into execution they wished to get all possible work finished it was also the time for collecting the various vegetables from the tabor island plants all was stowed away,PROJECT, 1 p r o - 0 jh e k t
t,161511,while raising yours so high by allah had you me eke i had honoured you but now uprooting severance i will fain console my heart and wring my fingers clean of you for evermore to part,CONSOLE, 0 k @ n - 1 s ou lw
t,169768,the thought of that investment lay warm at christie's heart and never woke a regret for well she knew that every dollar of it would be blessed,BLESSED, 1 b l e s t
t,33544,with your badge on your horse in your uniform will i charm nurse maids and prevent the grass from growing under people's feet in the park this day i will have your badge and your honor besides having the jolliest lark i've been blessed with since we licked spain,BLESSED, 1 b l e s t
t,182779,but the dove hung her head ashamed of her companion and said very simply o master owl i can only thank you with all my heart for the hospitality and shelter which you have given me this night,DOVE, 1 d uh v
t,168888,it is almost impossible to express in their exact limits the abstract evolutions of the brain the inconvenience of words is that they are more marked in form than ideas,ABSTRACT, 1 a b - 0 s t r a k t
